sample_id,question,retrieved_context,qwen_answer,document_status,qwen_faithfulness_score,qwen_judge_rationale,constraint_score,constraint_violations,generation_tokens,judge_tokens,generation_mode
rag_mpc_0009_current_gap,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","-1.277299999999999 eV, -1.0933 eV, -2.720399999999999 eV",outdated_or_incorrect,0.0,"The answer lists band gap values from the retrieved context, but the context explicitly marks all these notes as 'outdated_or_incorrect'. Therefore, the answer is unsupported by the context, as the context indicates these values are unreliable.",0.0,non_negative_band_gap,1593,1069,naive_context
rag_mpc_0009_incorrect_gap,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","-1.277299999999999 eV, -1.0933 eV, -2.720399999999999 eV",outdated_or_incorrect,0.0,"The answer lists band gap values from the retrieved context, but the context explicitly marks all these notes as 'outdated_or_incorrect'. Therefore, the answer is unsupported by the context, as the context indicates these values are unreliable.",0.0,non_negative_band_gap,1593,1069,naive_context
rag_mpc_0009_incomplete_stability,Is O2 thermodynamically stable?,"[rank=1 score=24.7444 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.7444 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.7444 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","O2 has a band gap of -1.277299999999999 eV, -1.0933 eV, and -2.720399999999999 eV.",outdated_or_incorrect,0.0,"The answer claims specific band gap values for O2, which are directly extracted from the retrieved context. However, the context explicitly states that these notes are 'outdated_or_incorrect' and intentionally marked for human review. Therefore, the answer presents data that is contradicted by the context's own reliability warnings, making it unsupported in terms of factual accuracy according to the provided context.",0.0,non_negative_band_gap,3589,1711,naive_context
rag_mpc_0010_current_gap,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","-1.277299999999999 eV, -1.0933 eV, -2.720399999999999 eV",outdated_or_incorrect,0.0,"The answer lists band gap values from the retrieved context, but the context explicitly marks all these notes as 'outdated_or_incorrect'. Therefore, the answer is unsupported by the context, as the context indicates these values are unreliable.",0.0,non_negative_band_gap,1593,1069,naive_context
rag_mpc_0010_incorrect_gap,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","-1.277299999999999 eV, -1.0933 eV, -2.720399999999999 eV",outdated_or_incorrect,0.0,"The answer lists band gap values from the retrieved context, but the context explicitly marks all these notes as 'outdated_or_incorrect'. Therefore, the answer is unsupported by the context, as the context indicates these values are unreliable.",0.0,non_negative_band_gap,1593,1069,naive_context
rag_mpc_0010_incomplete_stability,Is O2 thermodynamically stable?,"[rank=1 score=24.7444 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.7444 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.7444 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","O2 has a band gap of -1.277299999999999 eV, -1.0933 eV, and -2.720399999999999 eV.",outdated_or_incorrect,0.0,"The answer claims specific band gap values for O2, which are directly extracted from the retrieved context. However, the context explicitly states that these notes are 'outdated_or_incorrect' and intentionally marked for human review. Therefore, the answer presents data that is contradicted by the context's own reliability warnings, making it unsupported in terms of factual accuracy according to the provided context.",0.0,non_negative_band_gap,3589,1711,naive_context
rag_mpc_0011_current_gap,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","-1.277299999999999 eV, -1.0933 eV, -2.720399999999999 eV",outdated_or_incorrect,0.0,"The answer lists band gap values from the retrieved context, but the context explicitly marks all these notes as 'outdated_or_incorrect'. Therefore, the answer is unsupported by the context, as the context indicates these values are unreliable.",0.0,non_negative_band_gap,1593,1069,naive_context
rag_mpc_0011_incorrect_gap,What is the band gap of O2?,"[rank=1 score=25.3749 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=25.3749 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=25.3749 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","-1.277299999999999 eV, -1.0933 eV, -2.720399999999999 eV",outdated_or_incorrect,0.0,"The answer lists band gap values from the retrieved context, but the context explicitly marks all these notes as 'outdated_or_incorrect'. Therefore, the answer is unsupported by the context, as the context indicates these values are unreliable.",0.0,non_negative_band_gap,1593,1069,naive_context
rag_mpc_0011_incomplete_stability,Is O2 thermodynamically stable?,"[rank=1 score=24.7444 doc_id=h1ctx_0008_mpc_0003_incorrect_gap] A noisy retrieved note reports O2 (mp-1180008) with band gap -1.277299999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.7444 doc_id=h1ctx_0023_mpc_0008_incorrect_gap] A noisy retrieved note reports O2 (mp-12957) with band gap -1.0933 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.7444 doc_id=h1ctx_0026_mpc_0009_incorrect_gap] A noisy retrieved note reports O2 (mp-2204849) with band gap -2.720399999999999 eV. This note is intentionally marked for human review as outdated_or_incorrect.","O2 has a band gap of -1.277299999999999 eV, -1.0933 eV, and -2.720399999999999 eV.",outdated_or_incorrect,0.0,"The answer claims specific band gap values for O2, which are directly extracted from the retrieved context. However, the context explicitly states that these notes are 'outdated_or_incorrect' and intentionally marked for human review. Therefore, the answer presents data that is contradicted by the context's own reliability warnings, making it unsupported in terms of factual accuracy according to the provided context.",0.0,non_negative_band_gap,3589,1711,naive_context
rag_mpc_0012_current_gap,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The band gap of C is reported as -0.07970000000000001 eV, -0.0724 eV, and -0.10600000000000001 eV in the retrieved context.",outdated_or_incorrect,1.0,"The answer accurately reports the band gap values from the retrieved context, which explicitly state the band gaps as -0.07970000000000001 eV, -0.0724 eV, and -0.10600000000000001 eV for different C materials. Although the context marks these as outdated or incorrect, the answer faithfully reflects what is presented without adding unsupported claims.",0.0,non_negative_band_gap,1573,897,naive_context
rag_mpc_0012_incorrect_gap,What is the band gap of C?,"[rank=1 score=24.9072 doc_id=h1ctx_0002_mpc_0001_incorrect_gap] A noisy retrieved note reports C (mp-1197903) with band gap -0.07970000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=2 score=24.9072 doc_id=h1ctx_0005_mpc_0002_incorrect_gap] A noisy retrieved note reports C (mp-1244964) with band gap -0.0724 eV. This note is intentionally marked for human review as outdated_or_incorrect.

[rank=3 score=24.9072 doc_id=h1ctx_0011_mpc_0004_incorrect_gap] A noisy retrieved note reports C (mp-1244913) with band gap -0.10600000000000001 eV. This note is intentionally marked for human review as outdated_or_incorrect.","The band gap of C is reported as -0.07970000000000001 eV, -0.0724 eV, and -0.10600000000000001 eV in the retrieved context.",outdated_or_incorrect,1.0,"The answer accurately reports the band gap values from the retrieved context, which explicitly state the band gaps as -0.07970000000000001 eV, -0.0724 eV, and -0.10600000000000001 eV for different C materials. Although the context marks these as outdated or incorrect, the answer faithfully reflects what is presented without adding unsupported claims.",0.0,non_negative_band_gap,1573,897,naive_context
